Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,@huggingface,transformers,3.8.1,optional,Apache-2.0,,,,pkg:npm/%40huggingface/transformers@3.8.1,,,,,,,,,,,,,,,b6c4e4e33563226a9daa34bcfc0399836c8d2ddd73f52e6ffbba143e95da6ac0d1c040e107ec678252b593971a776ea52f9fd921a791120596cb46ecf72f693c,,,,,,,,,,
Library,,,,,@huggingface,jinja,0.5.3,optional,MIT,,,,pkg:npm/%40huggingface/jinja@0.5.3,,,,,,,,,,,,,,,6aca9f6781904b4843f3be94c38aa251bed3aff57943e259ba8d8bf81b5dac3e14e34414e7c9c846add94a00332604fcef854b8e119569c6987eb7695ed12fb4,,,,,,,,,,
Library,,,,,,onnxruntime-node,1.21.0,optional,MIT,,,,pkg:npm/onnxruntime-node@1.21.0,,,,,,,,,,,,,,,35e6825fa596d8bf1c4424aacb76c89e5a39a238d0aaed9f0f70fef56e6a6f98abc31844c96297787daf67c5bdafa57168c3d46a7fb8ffb343c1932da2e67113,,,,,,,,,,
Library,,,,,,global-agent,3.0.0,optional,BSD-3-Clause,,,,pkg:npm/global-agent@3.0.0,,,,,,,,,,,,,,,3d3e9745e27e0f4ec9bc6a3140c913eaa8e2fe354d7d7fe1dfae171d9396791cf2eb8b1216bfb1279397ecb2376f830f43374be07f18f0cd31ccfa6c54cc00f1,,,,,,,,,,
Library,,,,,,boolean,3.2.0,optional,MIT,,,,pkg:npm/boolean@3.2.0,,,,,,,,,,,,,,,774208fc63bdb9ff657d41c7d8142c8f1cd125905db2382c0625b806f85693fdeaa0ac1016320354dd7d3df5fc1760ffafd3c2313b4b5a3615085ae9798533b3,,,,,,,,,,
Library,,,,,,es6-error,4.1.1,optional,MIT,,,,pkg:npm/es6-error@4.1.1,,,,,,,,,,,,,,,526ffe17132bf422125a1d1b8b966fd22383fb8705879a8b7a4b35aa1028a4a540270dddae029b2b24a2929ef01a10cbd073de6a36b43f950b66bc4b92789456,,,,,,,,,,
Library,,,,,,matcher,3.0.0,optional,MIT,,,,pkg:npm/matcher@3.0.0,,,,,,,,,,,,,,,3a478368067f6d00b1785028ccce793ca70a534c8930f1a27cbc15e108238adbbee4ca007d240de25b0b25e5d9d5bf30d31fbf12675ae8c6605d2d63bec6a99e,,,,,,,,,,
Library,,,,,,escape-string-regexp,4.0.0,optional,MIT,,,,pkg:npm/escape-string-regexp@4.0.0,,,,,,,,,,,,,,,4eda5c349dd7033c771aaf2c591cc96956a346cd2e57103660091d6f58e6d9890fcf81ba7a05050320379f9bed10865e7cf93959ae145db2ae4b97ca90959d80,,,,,,,,,,
Library,,,,,,roarr,2.15.4,optional,BSD-3-Clause,,,,pkg:npm/roarr@2.15.4,,,,,,,,,,,,,,,08784f87e50d1c3d864d735884f58b9d4f0e347748fb90c8fb811820039a883eb7ac7798959bf287c3fe8a7e7df7d4d348581462e294023cd123899d87fa7ed8,,,,,,,,,,
Library,,,,,,detect-node,2.1.0,optional,MIT,,,,pkg:npm/detect-node@2.1.0,,,,,,,,,,,,,,,4f4348b90a674ef14301336e1cde6ba0fc12046f37ac5b2e3be3175c7f7fdcdd5e15b9f8c1c3e3b6dbe330b10f589d11194620404edc1a04b7b4dc5ba8218cee,,,,,,,,,,
